_id,DC Code,DC Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
121,95QQ,Larne,2014,526,513,13,30338.9000000000014551915228366851806640625,64.22,159.4,29949.5,33206,116958,4036,145009,619,383,152,260,1031,390,68,26,42
122,95RR,Limavady,2014,593,413,180,38911,66.84,4193.899999999999636202119290828704833984375,33792.9000000000014551915228366851806640625,35818,118560,83,81138,747,439,145,313,1205,420,98,38,37
123,95SS,Lisburn,2014,744,280,464,28926.4000000000014551915228366851806640625,84.26,4028.40000000000009094947017729282379150390625,24610.0999999999985448084771633148193359375,50381,29780,19315,608871,904,488,250,439,1593,546,88,43,67
124,95TT,Magherafelt,2014,1224,895,329,47514.199999999997089616954326629638671875,52.11,1948.90000000000009094947017729282379150390625,44831.0999999999985448084771633148193359375,67524,112939,19332,229873,1470,767,274,582,2326,976,141,65,42
125,95UU,Moyle,2014,553,508,45,38448.5,73.7,1274.09999999999990905052982270717620849609375,36661.199999999997089616954326629638671875,33730,157380,3284,243286,686,447,155,292,1133,375,91,35,52
126,95VV,Newry & Mourne,2014,2375,1943,432,58950.5,47.22,2320.6999999999998181010596454143524169921875,56177.0999999999985448084771633148193359375,115080,144773,22471,743476,2777,1291,500,842,4119,2037,198,58,82
127,95WW,Newtownabbey,2014,221,117,104,9700.100000000000363797880709171295166015625,93.51,538,9114.79999999999927240423858165740966796875,18109,12922,15707,21046,265,156,71,155,491,158,29,10,24
128,95XX,North Down,2014,62,1,61,3766.40000000000009094947017729282379150390625,118.42,472.6,2576.5,6435,2834,23,0,74,46,17,53,144,40,6,7,9
129,95YY,Omagh,2014,2014,1894,120,84265.39999999999417923390865325927734375,61.62,566.3,81679.89999999999417923390865325927734375,117409,146646,39039,1143786,2351,1324,432,845,3628,1624,212,95,83
130,95ZZ,Strabane,2014,1230,1027,203,69517.60000000000582076609134674072265625,77.5,2195.6999999999998181010596454143524169921875,64778.0999999999985448084771633148193359375,80962,196917,17997,431846,1480,901,265,642,2387,886,185,67,92
