_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
2710,95QQ08,Craigy Hill,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2711,95QQ09,Gardenmore,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2712,95QQ10,Glenarm,2014,147,145,2,9852,54,44,9735,7302,43844,3,42,172,113,49,66,287
2713,95QQ11,Glynn,2014,72,69,3,3572,102,39,3518,7114,11282,33,25,88,49,20,47,155
2714,95QQ12,Harbour LARNE,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2715,95QQ13,Island Magee,2014,47,46,1,1994,67,21,1963,3418,6218,8,0,54,35,15,31,100
2716,95QQ14,Kilwaughter,2014,121,116,5,6878,82,43,6807,9470,22648,3992,40,152,97,35,59,246
2717,95QQ15,Town Parks,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2718,95RR01,Aghanloo,2014,77,37,40,4831,68,196,4459,5734,14694,0,0,93,56,17,35,145
2719,95RR02,Ballykelly,2014,19,2,17,1185,112,539,638,1478,2146,0,0,29,20,3,21,53
2720,95RR03,Coolessan,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2721,95RR04,Dungiven,2014,9,5,4,627,39,0,626,159,3385,0,0,11,4,1,8,20
2722,95RR05,Enagh LIMAVADY,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2723,95RR06,Feeny,2014,81,74,7,5597,40,85,5443,2940,18942,1,0,99,54,20,48,167
2724,95RR07,Forrest,2014,50,22,28,3199,75,234,2924,3690,11613,0,0,66,40,12,27,105
2725,95RR08,Glack,2014,72,53,19,3248,52,673,2503,3536,5867,0,0,85,43,16,26,127
