WPC Code,WPC Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N06000007,Fermanagh & South Tyrone,2015,4349,3971,378,"166,898.00",64.00,991.00,"162,959.00","252,578","159,660","89,433","5,095",5110,2713,1002,1480,7592,3540,459,192,158
N06000008,Foyle,2015,188,108,80,"10,341.00",96.00,"1,841.00","8,322.00","14,048","22,678",87,16,234,156,49,119,402,128,26,10,24
N06000009,Lagan Valley,2015,888,257,631,"33,590.00",91.00,"4,856.00","28,383.00","63,896","43,674","23,061",949,1084,594,268,465,1817,648,103,49,88
N06000010,Mid Ulster,2015,2892,1881,1011,"97,934.00",72.00,"3,051.00","93,658.00","172,629","175,491","101,029","3,962",3477,1820,615,1228,5320,2300,289,167,136
N06000011,Newry & Armagh,2015,3056,2110,946,"82,234.00",77.00,"4,512.00","76,719.00","191,588","89,084","136,720","2,133",3603,1739,634,1839,6076,2452,292,121,191
N06000012,North Antrim,2015,2218,1430,788,"103,867.00",96.00,"3,385.00","98,721.00","167,391","285,570","21,967","3,581",2778,1697,608,985,4371,1519,345,146,208
N06000013,North Down,2015,122,3,119,"6,302.00",103.00,721.00,"4,805.00","10,892","4,359",17,5,143,76,36,64,243,86,12,7,17
N06000014,South Antrim,2015,1053,626,427,"47,959.00",88.00,"2,024.00","44,927.00","88,172","74,243","23,956","1,075",1276,746,308,528,2112,747,149,60,97
N06000015,South Down,2015,2677,1560,1117,"83,847.00",56.00,"7,032.00","75,796.00","145,412","257,515","43,872",858,3255,1745,688,1188,5131,2147,293,103,134
N06000016,Strangford,2015,896,237,659,"43,323.00",110.00,"6,540.00","35,866.00","75,752","56,205","38,193",272,1146,685,309,689,2144,595,120,53,128
N06000017,Upper Bann,2015,740,225,515,"25,908.00",93.00,"2,544.00","22,896.00","60,911","17,872","10,275",636,939,518,195,523,1657,529,90,44,77
N06000018,West Tyrone,2015,3357,3006,351,"153,753.00",68.00,"2,384.00","146,932.00","205,103","354,031","67,424","1,679",3985,2312,717,1361,6063,2598,407,167,185
N06000001,Belfast East,2016,3,3,3,3,139.00,364.00,"1,755.00","2,227","2,726",5,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2016,3,3,3,3,79.00,5.00,723.00,746,228,0,0,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2016,3,3,3,3,162.00,177.00,"1,310.00","3,581","1,442","1,634",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2016,3,3,3,3,46.00,0.00,"1,101.00","1,122",52,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2016,802,775,27,"47,903.00",62.00,236.00,"47,173.00","44,216","194,882","7,095",350,954,552,234,376,1564,600,113,34,55
N06000006,East Londonderry,2016,1594,1012,582,"90,304.00",77.00,"6,408.00","82,304.00","114,168","256,746","7,990",649,1971,1158,477,755,3203,1143,229,97,125
N06000007,Fermanagh & South Tyrone,2016,4265,3890,375,"168,160.00",67.00,960.00,"163,580.00","262,522","164,332","100,104","5,132",5049,2657,1084,1431,7564,3443,464,183,175
N06000008,Foyle,2016,187,103,84,"10,470.00",96.00,"1,857.00","8,428.00","14,502","23,369",70,0,226,151,56,115,397,127,24,14,22
N06000009,Lagan Valley,2016,862,257,605,"33,682.00",94.00,"4,873.00","28,323.00","66,287","46,742","26,191",806,1076,574,271,442,1789,618,106,45,93
N06000010,Mid Ulster,2016,2850,1847,1003,"99,171.00",75.00,"2,965.00","94,776.00","178,741","183,621","117,187","3,903",3454,1768,644,1148,5246,2254,300,146,150
N06000011,Newry & Armagh,2016,2980,2055,925,"82,722.00",80.00,"4,344.00","77,234.00","200,751","89,064","147,040","2,472",3523,1745,674,1714,5911,2369,291,128,192
N06000012,North Antrim,2016,2181,1421,760,"104,491.00",100.00,"3,690.00","98,878.00","169,797","283,621","20,387","3,911",2745,1666,635,1030,4410,1474,342,155,210
N06000013,North Down,2016,125,3,122,"6,208.00",98.00,715.00,"4,683.00","11,205","4,370",25,0,149,79,33,66,248,85,13,8,19
N06000014,South Antrim,2016,1021,605,416,"47,905.00",90.00,"1,964.00","44,970.00","89,509","78,800","22,756","1,108",1267,726,314,507,2088,717,146,55,103
N06000015,South Down,2016,2667,1551,1116,"88,625.00",58.00,"7,149.00","80,383.00","151,696","257,015","45,242",946,3275,1673,717,1225,5217,2132,288,101,146
N06000016,Strangford,2016,871,238,633,"47,651.00",112.00,"6,787.00","32,542.00","77,028","58,205","32,884",256,1100,646,306,652,2058,570,118,57,126
N06000017,Upper Bann,2016,735,222,513,"25,930.00",96.00,"2,507.00","22,934.00","63,542","17,721","8,956",561,934,500,200,548,1682,522,91,48,74
N06000018,West Tyrone,2016,3316,2978,338,"153,811.00",70.00,"2,388.00","146,875.00","212,952","360,037","63,535","1,690",3973,2270,748,1348,6069,2549,405,160,202
N06000001,Belfast East,2017,3,3,3,3,127.00,353.00,"1,748.00","2,397","2,642",65,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2017,3,3,3,3,106.00,11.00,785.00,802,199,0,0,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2017,3,3,3,3,151.00,223.00,"1,331.00","3,699","1,227","1,376",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2017,3,3,3,3,54.00,0.00,"1,102.00","1,313",86,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2017,822,799,23,"48,310.00",67.00,281.00,"47,566.00","43,742","200,596","12,050",635,976,570,233,390,1599,624,103,43,52
N06000006,East Londonderry,2017,1611,1026,585,"91,027.00",76.00,"6,203.00","83,245.00","111,567","260,289","8,089",839,2024,1210,478,775,3277,1167,221,87,136
N06000007,Fermanagh & South Tyrone,2017,4353,3969,384,"170,554.00",67.00,877.00,"165,963.00","261,468","170,752","110,423","5,383",5182,2811,1104,1566,7852,3522,476,185,170
N06000008,Foyle,2017,191,103,88,"11,205.00",103.00,"2,092.00","8,890.00","14,421","21,827",39,21,235,151,56,138,429,130,22,16,23
N06000009,Lagan Valley,2017,872,261,611,"33,858.00",93.00,"4,870.00","28,512.00","66,832","46,541","24,304",879,1064,591,268,445,1777,635,101,48,88
N06000010,Mid Ulster,2017,2899,1883,1016,"100,043.00",74.00,"2,901.00","95,742.00","178,804","185,042","124,617","3,731",3511,1789,645,1186,5342,2300,300,148,151
N06000011,Newry & Armagh,2017,3054,2103,951,"82,976.00",82.00,"4,449.00","77,424.00","206,295","90,631","167,018","3,058",3596,1802,686,1795,6077,2432,312,111,199
N06000012,North Antrim,2017,2201,1431,770,"104,943.00",100.00,"3,592.00","99,537.00","168,573","285,925","20,224","4,728",2767,1713,661,1055,4483,1501,325,151,224
N06000013,North Down,2017,116,3,113,"5,291.00",107.00,739.00,"4,299.00","11,243","4,407",31,8,142,86,34,76,252,79,12,8,17
N06000014,South Antrim,2017,1041,613,428,"47,333.00",91.00,"1,925.00","44,544.00","89,234","82,330","23,169","1,287",1264,742,318,522,2104,743,140,54,104
N06000015,South Down,2017,2721,1588,1133,"89,636.00",59.00,"7,240.00","81,275.00","155,860","259,212","49,825","1,117",3337,1737,700,1204,5241,2161,307,103,150
N06000016,Strangford,2017,889,245,644,"47,750.00",109.00,"6,409.00","33,081.00","78,017","58,756","29,490",302,1136,678,308,653,2097,591,119,58,121
N06000017,Upper Bann,2017,747,221,526,"26,240.00",98.00,"2,611.00","23,139.00","62,978","18,730","8,343",694,944,495,197,587,1728,531,91,49,76
N06000018,West Tyrone,2017,3359,3017,342,"154,232.00",72.00,"2,451.00","147,170.00","209,201","363,363","70,057","2,228",4056,2318,745,1373,6174,2588,409,162,200
N06000001,Belfast East,2018,3,3,3,3,133.00,333.00,"1,732.00","2,419","2,670",61,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2018,3,3,3,3,105.00,18.00,861.00,"1,022",277,0,0,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2018,3,3,3,3,159.00,180.00,"1,249.00","3,575","1,307","1,617",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2018,3,3,3,3,53.00,0.00,"1,086.00","1,350",76,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2018,822,800,22,"48,197.00",63.00,222.00,"47,588.00","42,876","193,686","11,861",435,979,591,233,399,1611,626,108,39,49
N06000006,East Londonderry,2018,1594,1014,580,"91,682.00",75.00,"6,094.00","84,103.00","108,426","253,048","8,387",797,2025,1208,502,809,3336,1171,206,89,128
N06000007,Fermanagh & South Tyrone,2018,4334,3964,370,"170,715.00",68.00,949.00,"166,264.00","252,765","168,709","110,006","6,055",5192,2796,1081,1568,7841,3529,461,171,173
N06000008,Foyle,2018,193,102,91,"11,143.00",100.00,"2,020.00","8,952.00","14,535","20,803",58,0,250,149,54,134,438,129,27,14,23
N06000009,Lagan Valley,2018,869,273,596,"33,730.00",92.00,"4,297.00","28,972.00","66,742","46,660","24,927",801,1074,593,284,443,1801,639,99,43,88
N06000010,Mid Ulster,2018,2907,1909,998,"100,338.00",76.00,"2,668.00","96,452.00","173,581","180,006","127,766","4,175",3579,1809,631,1162,5372,2327,284,147,149
N06000011,Newry & Armagh,2018,3062,2116,946,"83,869.00",82.00,"4,251.00","78,575.00","204,013","92,030","159,199","3,214",3644,1829,691,1771,6106,2468,284,119,191
N06000012,North Antrim,2018,2185,1419,766,"103,620.00",100.00,"3,197.00","98,705.00","160,550","279,833","17,600","4,950",2806,1698,676,1056,4538,1509,324,137,215
N06000013,North Down,2018,121,3,120,"6,104.00",102.00,681.00,"4,617.00","11,454","4,623",19,8,151,87,37,74,262,87,9,8,17
N06000014,South Antrim,2018,1022,598,424,"47,914.00",90.00,"1,632.00","45,424.00","86,817","83,073","22,903","1,241",1273,751,316,530,2119,733,137,53,99
N06000015,South Down,2018,2725,1598,1127,"89,719.00",59.00,"6,941.00","81,735.00","155,887","256,341","46,342","1,014",3394,1801,725,1271,5390,2182,295,100,148
