Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08001111,Castle (Ards and North Down),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001112,Clandeboye,2017,6,0,6,599.6,277,116.2,481.2,1413,0,0,0,10,10,3,8,21
N08001113,Comber North,2017,7,0,7,381,133,346.5,21.6,0,164,0,0,13,6,3,30,44
N08001114,Comber South,2017,47,16,31,1649,77,442.7,1201.7,2173,3153,0,0,58,31,14,42,114
N08001115,Comber West,2017,16,0,16,456.8,107,167.3,272.5,415,1398,0,0,22,14,5,15,42
N08001116,Conway Square,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001117,Cronstown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001118,Cultra,2017,14,3,13,603.8,110,0,578.2,1557,67,23,0,18,9,3,7,29
N08001119,Donaghadee,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001120,Glen,2017,6,0,6,128.5,41,0.4,127.6,150,318,7,0,7,5,3,6,16
N08001121,Gregstown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001122,Groomsport,2017,10,3,9,711.1,91,123.7,487.6,857,1906,8,0,12,6,3,11,27
N08001123,Harbour,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001124,Helen's Bay,2017,7,0,7,88.7,17,29.2,56.7,12,432,0,0,7,3,3,8,17
N08001125,Holywood,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001126,Kilcooley,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001127,Killinchy,2017,76,15,61,3060.9,63,464,2566,5038,8409,0,3,95,59,29,34,158
N08001128,Kircubbin,2017,71,3,69,3483.2,120,460.1,2955.8,8558,1466,0,66.97,88,48,22,78,188
N08001129,Loughries,2017,81,3,79,3440.3,108,430.2,2974.7,7961,2309,0,0,98,52,25,87,210
N08001130,Loughview,2017,5,0,5,385.9,195,117,261.2,971,46,0,0,6,5,3,3,12
N08001131,Movilla,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001132,Portaferry,2017,53,3,52,2995,177,752,2125.6,6311,3360,10023,18.56,75,50,16,31,122
N08001133,Portavogie,2017,32,3,31,1605.9,171,94.3,1509.2,4382,1008,1479,0,43,25,9,35,87
N08001134,Rathgael,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001135,Rathmore,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001136,Scrabo,2017,25,3,23,2024,221,823.6,1138.2,3204,993,29,0,30,24,10,32,72
N08001137,Silverbirch,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001138,Silverstream,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001139,Warren,2017,24,0,24,1045.4,113,155.9,799.2,1968,530,0,8,31,22,9,8,48
N08001140,West Winds,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000101,Abbey (Antrim and Newtownabbey),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000102,Aldergrove,2018,101,6,95,6007,112,173,5676,10784,15053,0,126,126,84,41,81,248
N08000103,Antrim Centre,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000104,Ballyclare East,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000105,Ballyclare West,2018,5,3,3,148,21,0,148,207,152,0,0,5,3,3,0,6
N08000106,Ballyduff,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000107,Ballyhenry,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000108,Ballynure,2018,83,57,26,3552,90,74,3456,7550,8615,52,90,102,64,25,49,176
N08000109,Ballyrobert,2018,31,3,29,1332,96,90,1232,2987,1869,0,0,38,21,11,41,90
N08000110,Burnthill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000111,Carnmoney,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000112,Carnmoney Hill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000113,Clady,2018,110,86,24,6194,100,234,5894,11390,5935,20,79,136,86,29,70,235
N08000114,Collinbridge,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000115,Cranfield,2018,66,22,44,2816,100,131,2666,7059,2788,96,107,90,61,21,27,138
N08000116,Crumlin,2018,7,3,6,225,14,0,225,91,201,0,0,8,3,3,3,11
N08000117,Doagh,2018,23,5,18,1027,136,125,897,2538,1266,4543,5,34,20,5,14,53
N08000118,Fairview,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000119,Fountain Hill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000120,Glebe (Antrim and Newtownabbey),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000121,Glengormley,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000122,Greystone (Antrim and Newtownabbey),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000123,Hightown,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000124,Jordanstown,2018,13,13,0,1179,258,0,1172,1939,493,10624,0,19,13,5,5,29
N08000125,Mallusk,2018,19,6,13,755,73,81,671,1169,432,950,0,22,13,8,11,41
N08000126,Monkstown,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000127,Mossley,2018,8,3,3,188,16,0,186,154,631,0,0,9,3,3,3,15
N08000128,O'Neill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000129,Parkgate,2018,115,91,24,5678,72,246,5369,8486,19772,0,98,145,77,43,47,235
N08000130,Randalstown,2018,7,5,3,852,116,41,493,731,2635,0,0,10,3,3,8,21
N08000131,Rathcoole,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000132,Rostulla,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000133,Shilvodan,2018,103,98,5,4001,109,118,3860,6989,8485,2343,412,130,78,31,36,197
N08000134,Springfarm,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000135,Steeple,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000136,Stiles,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000137,Templepatrick,2018,50,8,42,3315,89,89,3208,5221,4196,0,0,60,38,19,26,105
N08000138,Toome,2018,110,49,61,4395,92,96,4209,10260,6037,28,220,142,82,28,39,209
N08000139,Valley (Antrim and Newtownabbey),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000140,Whitehouse,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000201,Aghagallon,2018,94,44,50,3738,84,292,3393,9135,1210,1925,76,111,58,29,51,191
N08000202,Ballybay,2018,22,3,21,863,83,261,597,1119,90,0,0,30,16,3,42,76
N08000203,Banbridge East,2018,93,3,90,3668,121,459,3191,10276,4235,3169,1,120,72,32,60,212
N08000204,Banbridge North,2018,15,0,15,176,12,3,172,298,355,0,0,16,7,3,3,24
N08000205,Banbridge South,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000206,Banbridge West,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000207,Blackwatertown,2018,246,42,204,7942,150,705,7104,18605,4719,0,941,307,166,61,361,729
N08000208,Bleary,2018,30,3,29,568,39,32,532,1312,351,14,0,33,16,8,19,60
N08000209,Brownlow,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000210,"Cathedral (Armagh City, Banbridge and Craigavon)",2018,8,0,8,121,29,6,109,142,0,0,0,8,3,0,3,10
N08000211,Corcrain,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000212,Craigavon Centre,2018,11,8,3,614,157,77,507,1511,6,0,0,20,11,3,7,30
N08000213,Demesne,2018,8,0,8,178,25,0,176,327,124,0,0,9,5,3,3,12
N08000214,Derrytrasna,2018,57,52,5,1906,72,99,1683,3760,525,19,162,74,36,10,39,123
N08000215,Donaghcloney,2018,89,3,86,3830,150,537,3226,9800,2853,6,509,118,68,32,47,197
N08000216,"Dromore (Armagh City, Banbridge and Craigavon)",2018,26,3,25,744,53,74,668,1544,2611,0,0,31,14,6,8,45
N08000217,Gilford,2018,63,3,61,2211,93,130,2012,4893,1339,0,0,80,45,12,67,159
N08000218,Gransha,2018,196,151,45,6045,71,460,5544,13791,13552,33,84,241,133,60,73,374
N08000219,Hamiltonsbawn,2018,163,71,92,5365,111,550,4746,11246,8445,11651,389,197,98,51,100,348
N08000220,Keady,2018,251,239,12,5693,56,21,5649,14209,3684,0,172,291,142,43,188,522
N08000221,Kernan,2018,14,3,13,729,148,9,720,2017,538,1317,0,24,16,3,5,33
N08000222,Killycomain,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000223,Knocknashane,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000224,Lough Road,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000225,Loughbrickland,2018,216,7,209,10470,72,1440,8931,15860,13495,2869,92,275,150,72,78,425
N08000226,Loughgall,2018,185,47,138,4984,93,961,3973,10023,4723,4133,154,237,129,49,329,615
N08000227,Magheralin,2018,19,0,19,856,166,67,779,2770,228,2363,21,27,16,3,8,39
N08000228,Mahon,2018,34,3,30,944,125,52,878,2145,463,0,37,46,19,7,35,88
N08000229,Markethill,2018,198,70,128,7933,112,527,7114,21299,15075,3898,291,251,151,63,97,411
N08000230,Mourneview,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000231,Navan,2018,263,113,150,8058,176,160,7808,21561,11202,123566,134,327,180,74,161,562
N08000232,Parklake,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000233,Quilly,2018,96,3,93,4427,103,638,3742,9826,2948,0,52,119,77,35,56,210
N08000234,Rathfriland,2018,161,30,131,5323,80,553,4722,11620,11538,3830,39,205,114,44,81,330
N08000235,Richhill,2018,75,21,54,2731,84,275,2447,5825,2397,297,109,93,53,20,59,172
N08000236,Seagahan,2018,364,347,17,9090,63,32,9008,23812,10528,7644,467,434,228,75,98,607
N08000237,"Shankill (Armagh City, Banbridge and Craigavon)",2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000238,Tandragee,2018,22,0,22,992,100,137,816,2179,750,76,0,27,16,8,9,44
N08000239,The Birches,2018,174,121,53,5276,98,456,4742,11291,2455,6683,33,222,123,58,241,521
N08000240,The Mall,2018,11,5,6,778,214,68,705,2469,271,0,0,16,10,3,27,47
N08000241,Waringstown,2018,29,3,27,979,71,109,842,1940,486,451,0,34,14,5,16,55
N08000301,Andersonstown,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000302,Ardoyne,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000303,Ballygomartin,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000304,Ballymacarrett,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000305,Ballymurphy,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000306,Ballysillan,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000307,Beechmount,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000308,Beersbridge,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000309,Bellevue,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000310,Belmont,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000311,Belvoir,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000312,Blackstaff,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000313,Bloomfield (Belfast),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000314,Cavehill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000315,Central,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000316,Chichester Park,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000317,Cliftonville,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000318,Clonard,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000319,Collin Glen,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000320,Connswater,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000321,Cregagh,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000322,Duncairn,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000323,Dunmurry,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000324,Falls,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000325,Falls Park,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000326,Finaghy,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000327,Forth River,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000328,Fortwilliam,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000329,Garnerville,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000330,Gilnahirk,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000331,Hillfoot,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000332,Innisfayle,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000333,Knock,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000334,Ladybrook,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000335,Lagmore,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000336,Legoniel,2018,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3
N08000337,Malone,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000338,Merok,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000339,Musgrave,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000340,New Lodge,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000341,Orangefield,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000342,Ormeau,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000343,Poleglass,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000344,Ravenhill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000345,Rosetta,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000346,Sandown,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000347,Shandon,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000348,Shankill (Belfast),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000349,Shaw's Road,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000350,Stewartstown (Belfast),2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000351,Stormont,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000352,Stranmillis,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000353,Sydenham,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000354,Turf Lodge,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000355,Twinbrook,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000356,Upper Malone,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000357,Water Works,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000358,Windsor,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000359,Woodstock,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000360,Woodvale,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000401,Aghadowey,2018,163,53,110,8664,111,372,8034,16140,14756,1774,281,215,139,57,96,368
N08000402,Altahullion,2018,96,62,34,6345,108,833,5479,8149,15989,52,165,125,81,31,43,199
N08000403,Atlantic,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000404,Ballycastle,2018,13,13,0,673,32,8,665,245,3913,0,0,15,3,3,7,26
N08000405,Ballykelly,2018,63,37,26,3477,78,958,2484,3632,5809,327,1,89,42,17,34,140
N08000406,Ballymoney East,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000407,Ballymoney North,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000408,Ballymoney South,2018,11,3,9,470,119,3,430,1002,116,0,16,14,10,0,3,18
N08000409,Castlerock,2018,13,3,12,832,160,69,746,2133,276,0,0,21,14,3,7,31
N08000410,Churchland,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000411,Clogh Mills,2018,115,77,38,5833,156,159,5607,8041,9023,11110,566,149,92,38,57,244
N08000412,Coolessan,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000413,Dervock,2018,87,6,81,4899,151,589,4255,9019,6802,963,213,114,84,35,57,206
N08000414,Drumsurn,2018,54,17,37,3404,87,232,3137,4607,12188,24,0,69,48,13,25,107
N08000415,Dundooan,2018,111,12,99,6299,153,711,5504,15327,5855,0,108,152,111,42,94,288
N08000416,Dungiven,2018,90,86,3,7159,57,4,7080,2913,30786,0,78,115,68,27,57,199
N08000417,Dunloy,2018,110,59,51,5250,87,191,4858,8595,13214,481,75,145,83,32,51,228
N08000418,Feeny,2018,102,91,11,7611,45,71,7399,4342,28623,0,0,129,71,28,49,206
N08000419,Garvagh,2018,133,112,21,6948,44,133,6754,5620,16768,0,103,165,99,54,47,266
N08000420,Giant's Causeway,2018,126,92,34,7001,129,498,6321,14177,13270,1950,172,170,116,41,78,289
N08000421,Greysteel,2018,71,53,18,2482,30,318,2110,2443,5347,44,0,77,44,9,19,105
N08000422,Greystone (Causeway Coast and Glens),2018,7,3,5,209,17,14,193,86,428,0,0,7,3,3,0,11
N08000423,Hopefield,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000424,Kilrea,2018,109,35,74,4264,67,104,4064,7762,9278,2331,45,136,74,35,47,218
N08000425,Kinbane,2018,120,116,3,6344,88,268,6014,9586,21609,28,101,160,111,34,63,257
N08000426,Loughguile and Stranocum,2018,152,95,57,7503,126,328,7077,12731,29161,12,473,201,125,43,53,297
N08000427,Lurigethan,2018,88,86,3,5332,44,63,5229,1612,21449,0,144,98,52,23,34,155
N08000428,Macosquin,2018,102,52,50,6183,90,380,5757,8686,15532,2970,0,136,83,38,44,218
N08000429,Magilligan,2018,140,82,58,8395,69,1468,6725,10152,21633,54,1,176,103,37,78,291
N08000430,Mountsandel,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000431,Portrush and Dunluce,2018,16,13,3,1639,222,220,1413,3399,1667,0,0,24,18,7,8,39
N08000432,Portstewart,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000433,Quarry,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000434,Rasharkin,2018,131,62,69,5062,103,218,4776,10595,7085,51,262,166,95,43,68,277
N08000435,Roeside,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000436,Route,2018,40,5,35,1669,76,37,1580,2954,2331,0,63,50,29,11,17,78
N08000437,Torr Head and Rathlin,2018,216,212,3,18461,46,56,18192,6975,83245,12,11,275,165,58,112,445
N08000438,University,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000439,Waterside,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000440,Windy Hall,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000501,Artigarvan,2018,76,53,23,4688,80,101,4549,6315,13100,0,0,108,61,24,41,173
N08000502,Ballycolman,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000503,Ballymagroarty,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000504,Brandywell,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000505,Carn Hill,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000506,Castlederg,2018,56,54,3,2278,67,5,2253,4414,6415,33,0,67,41,12,26,105
N08000507,Caw,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000508,City Walls,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000509,Claudy,2018,100,94,6,4584,31,105,4310,3781,12970,22,0,121,66,28,50,199
N08000510,Clondermot,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000511,Creggan,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000512,Creggan South,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000513,Culmore,2018,11,3,10,835,84,295,515,585,366,0,0,13,7,3,7,22
N08000514,Drumahoe,2018,7,3,3,203,15,9,192,106,356,0,0,7,3,0,3,9
N08000515,Dunnamanagh,2018,219,204,15,12835,61,308,12269,13411,41612,174,15,265,143,44,99,408
N08000516,Ebrington,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000517,Eglinton,2018,19,13,6,849,113,63,773,858,1807,0,0,22,11,0,16,38
N08000518,Enagh,2018,47,5,42,3005,114,958,2003,3893,3773,47,0,64,41,16,38,118
N08000519,Finn,2018,74,47,27,4054,127,162,3794,6341,6071,9766,32,100,60,19,31,150
N08000520,Foyle Springs,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000521,Galliagh,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000522,Glenderg,2018,320,303,17,13599,56,62,13414,13024,50152,16451,51,375,211,73,97,545
N08000523,Glenelly Valley,2018,316,286,30,18005,48,323,17467,13298,60306,843,28,381,239,79,128,588
N08000524,Kilfennan,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000525,Lisnagelvin,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000526,Madam's Bank,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000527,New Buildings,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000528,Newtownstewart,2018,120,71,49,8938,167,490,6847,14387,12016,1715,134,153,96,33,94,280
N08000529,Northland,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000530,Park (Derry City and Strabane),2018,207,204,3,11969,48,87,11742,8147,53097,789,11,246,136,69,105,420
N08000531,Shantallow,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000532,Shantallow East,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000533,Sheriff's Mountain,2018,20,10,10,1268,106,265,982,1596,1403,0,0,27,17,11,19,57
N08000534,Sion Mills,2018,48,21,27,1920,151,169,1713,5220,677,0,76,63,44,13,31,107
N08000535,Skeoge,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000536,Slievekirk,2018,97,59,38,6746,133,654,6004,13328,15063,11,0,131,85,28,62,221
N08000537,Springtown,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000538,Strabane North,2018,10,6,3,323,22,7,313,373,277,0,0,11,6,3,9,22
N08000539,Strabane West,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000540,Victoria (Derry City and Strabane),2018,5,5,0,214,128,16,197,637,331,0,0,8,5,3,3,12
N08000601,Ballinamallard,2018,91,91,0,3403,44,0,3362,5344,3994,0,0,99,60,31,24,154
N08000602,Belcoo and Garrison,2018,255,255,0,11240,18,0,11100,7888,3919,0,0,295,141,69,53,417
N08000603,Belleek and Boa,2018,225,222,3,9827,28,0,9627,8169,15623,0,16,258,134,45,57,360
N08000604,Beragh,2018,135,85,50,5871,103,81,5586,11344,9215,290,253,175,95,28,67,270
N08000605,"Boho,Cleenish and Letterbreen",2018,218,217,3,8906,31,26,8740,8862,7789,0,16,245,119,57,83,385
N08000606,Brookeborough,2018,189,182,7,7656,70,12,7378,13904,5318,1640,48,232,130,45,58,335
N08000607,Camowen,2018,11,6,5,524,141,8,502,1170,160,0,16,12,8,3,7,20
N08000608,Castlecoole,2018,10,9,3,467,23,10,244,293,155,0,0,10,3,3,7,18
N08000609,Coolnagard,2018,5,5,0,218,12,0,218,52,467,0,0,5,3,0,0,5
N08000610,Dergmoney,2018,6,5,3,182,98,0,180,102,654,0,59,6,3,3,5,12
N08000611,Derrygonnelly,2018,188,186,3,9448,46,72,9176,10295,6189,0,45,227,142,49,55,331
N08000612,Derrylin,2018,218,217,3,7528,39,6,7433,11357,8272,0,28,239,138,50,57,346
N08000613,Donagh,2018,160,157,3,6827,100,0,6800,11119,2901,0,529,190,105,31,145,366
N08000614,Dromore (Fermanagh and Omagh),2018,94,94,0,3834,80,41,3767,5826,5132,22,86,114,57,17,48,179
N08000615,Drumnakilly,2018,87,86,3,3335,69,0,3243,3721,5295,5513,94,105,56,25,22,152
N08000616,Drumquin,2018,233,229,3,10228,40,51,9937,9423,22381,1634,58,281,140,43,82,406
N08000617,Ederney and Kesh,2018,137,136,3,5567,30,0,5504,6448,9726,0,0,171,80,31,31,233
N08000618,Erne,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000619,Fairy Water,2018,190,175,15,9612,107,139,9201,16405,16896,9069,36,254,181,64,96,414
N08000620,Fintona,2018,128,123,5,4767,97,18,4709,8497,7377,15140,51,151,94,30,50,231
N08000621,Florence Court and Kinawley,2018,277,277,0,12499,37,15,12375,13001,19633,0,73,341,172,72,91,504
N08000622,Gortin,2018,120,107,13,6950,87,45,6775,9508,20850,2902,48,150,94,33,68,251
N08000623,Gortrush,2018,7,3,3,344,58,13,261,281,866,0,0,9,5,3,3,15
N08000624,Irvinestown,2018,106,106,0,3393,40,0,3350,5109,4140,0,17,128,60,24,33,185
N08000625,Killyclogher,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000626,Lisbellaw,2018,106,103,3,4347,71,0,4290,7920,3138,0,0,120,68,30,60,210
N08000627,Lisnarrick,2018,85,85,0,4184,58,2,4054,5665,6781,0,23,111,59,19,37,167
N08000628,Lisnaskea,2018,16,16,0,332,13,0,324,393,354,0,0,17,8,3,0,20
N08000629,Maguiresbridge,2018,185,183,3,6955,61,4,6898,12358,10732,0,0,214,125,54,56,324
N08000630,Newtownbutler,2018,149,148,3,6279,74,10,6110,10762,3418,0,224,177,111,54,63,294
N08000631,Newtownsaville,2018,209,194,15,7524,79,0,7366,15010,12424,5848,330,255,153,53,83,391
